icao,"name",lat,lon,runways,ils
02L,"Five Points Ranch",36.42495138,-120.26542806,1,0
02MO,"Troy Airpark",39.05004638,-91.03347473,1,0
02NC,"Oakridge Farm",35.17722222,-81.64472223,1,0
02ND,"Dresden Field",48.80833694,-98.52373167,1,0
02NE,"Benes Service",41.07162199,-096.90329109,1,0
02OH,"Zimmerman",41.37644111,-83.08325112,1,0
02OI,"Murtha",41.80199916,-80.56535139,1,0
02OR,"Rowena Dell",45.68150888,-121.31646139,1,0
02T,"Wise River",45.769092,-112.981704,1,0
02TX,"Grand Valley Lands",32.23348055,-97.40029445,1,0
02V,"Pine View",39.34443277,-104.58108139,1,0
02VA,"The Greenhouse",38.43568277,-77.85721639,1,0
02W,"Deck Airpark",35.74153972,-78.92473084,1,0
02WA,"Cawleys South Prairie",47.15232388,-122.09400278,1,0
02WI,"Beer",45.03191111,-92.65575639,1,0
02XS,"Seidel Ranch",30.14771305,-97.66277917,2,0
02Y,"Greenbush Municipal",48.68330972,-96.19196028,3,0
03A,"Southern Aero Sports",34.62512805,-81.89843223,1,0
03AZ,"Thompson Intl Aviation",31.43333325,-110.08555775,2,0
03B,"Mansfield Muni",37.127639,-92.620972,1,0
03CO,"Kugel Strong",40.2125,-104.7444445,1,0
03D,"Memphis Mem",40.4472235,-92.2280555,1,0
03FD,"Tharpe",30.82879805,-85.73104278,1,0
03I,"Clarks Dream Strip",39.64262051,-083.01489416,1,0
03II,"Davis Field",37.96198694,-87.77891167,1,0
03IL,"Wix",41.40225527,-87.81671334,1,0
03KY,"Flying H Farms",37.79170944,-87.54139917,1,0
03LL,"Thornton",39.34114777,-88.29143223,1,0
03MA,"Hadley",42.39314472,-72.55203223,1,0
03MO,"Cahoochie",37.88447888,-93.13158112,1,0
03N,"Utirik",11.233333,169.85,1,0
03NC,"Pilots Ridge",34.10433833,-77.90416667,1,0
03ND,"Olafson Brothers",48.62638277,-97.82898334,1,0
03NE,"Hyde Ranch",41.54639638,-99.33121306,1,0
03NY,"Talmage Fld",40.95843166,-72.716765,1,0
03OH,"Gibbs Field",41.41838527,-83.01741612,2,0
03OK,"Sahoma Lake",36.04119722,-96.16138889,1,0
03OR,"Powwatka Ridge",45.85542194,-117.48434417,1,0
03Q,"Bottimore Ranch",38.30408027,-121.25105862,1,0
03S,"Sandy River",45.40178694,-122.22869778,1,0
03T,"Gay Hill Farm",30.2627125,-96.50024612,1,0
03VA,"Whipoorwill Springs",38.66456333,-77.57971112,1,0
03WA,"Spangle Field",47.40822694,-117.37186362,1,0
03WI,"Zink",44.02748083,-88.88094639,1,0
04A,"Frank Sikes",31.7362665,-86.2624605,1,0
04CA,"Gray Butte Fld",34.5638885,-117.675,1,0
04CL,"Hunts Sky Ranch",33.08171083,-116.44140445,1,0
04D,"Ceres",42.00839888,-78.25806862,1,0
04F,"De Leon Municipal",32.09875222,-98.52532639,1,0
04FD,"Hall Farm",29.91995277,-82.90262667,1,0
04FL,"Cross Creek Farms",29.23942472,-81.222005,1,0
04G,"Lansdowne",41.130478,-80.6195805,1,0
04H,"Herren",40.0881025,-90.88541028,1,0
04I,"Columbus Southwest",39.91364653,-083.18385182,1,0
04II,"Turkey Run",41.13060444,-84.99413417,1,0
04IL,"Schertz",40.63753527,-89.00701889,1,0
04IS,"Van Gorder",40.17864472,-88.5689525,1,0
04KY,"Natchez Trace Farm",37.13505361,-85.78941556,1,0
04LA,"Loggy Bayou Plantation",32.27321277,-93.40600584,1,0
04LL,"Brunner",42.13613583,-88.28758139,1,0
04M,"Calhoun Co",33.9301115,-89.342853,1,0
04MA,"Goddard",42.80981138,-71.13922528,1,0
04MI,"Rapids Airway",42.53448111,-84.62831306,1,0
04MN,"Helblad",47.98579222,-94.68691778,1,0
04MO,"Airpark - Private",39.3011525,-91.45154278,1,0
04MS,"Nicks Flying Svc",32.939572,-90.837322,1,0
04ND,"Hahn Field",46.72747388,-97.44009334,1,0
04NE,"Mc Connell Field",41.15986618,-101.30011000,1,0
04NJ,"Emmanuel",39.59678111,-75.23351889,1,0
04NV,"Kingston Ranch",35.7555305,-115.664728,1,0
04NY,"Klaverack",42.26230916,-73.69623306,1,0
04OH,"Bossow",41.24769472,-81.10065195,1,0
04OI,"Herr Ii",41.42005194,-83.79716084,1,0
04OR,"Collins Landing Strip",44.74985527,-120.20112889,1,0
04TX,"Pocock",31.73222222,-97.36888889,1,0
04U,"Kirkeby Ranch",38.90411388,-114.38972056,1,0
04V,"Saguache Municipal",38.09722222,-106.168635,1,0
04W,"Keech",35.62210777,-76.76355028,1,0
04WA,"Ox Meadows",47.58183611,-117.4371525,1,0
04WI,"Dutch Gap Airstrip",42.5233525,-88.01674806,1,0
04Y,"Hawley Muni",46.8838205,-96.35026,1,0
05A,"Cascabel Air Park",32.30007333,-110.3650775,1,0
05AK,"Wasilla Creek Airpark",61.66681650,-149.18941206,1,0
05C,"Griffith Merrillville",41.519842,-87.399508,1,0
05CL,"Pope Valley",38.6108335,-122.39139,1,0
05CO,"Rancho De Aereo",40.21498388,-104.98442278,1,0
05D,"New Town Muni",47.967089,-102.4779555,1,0
05E,"Ranta Strip",33.85392111,-112.65323028,1,0
05G,"Williams Field",43.34168944,-82.83604528,1,0
05II,"Reichhart",41.02865944,-84.99718945,1,0
05IL,"Classic Landings",41.15669722,-88.01671389,1,0
05IS,"Hardy",39.72587638,-89.26397112,1,0
05J,"Bonner Field",30.55019388,-87.64998612,1,0
05LA,"Gregs Flying Service",32.26527777,-91.69777778,1,0
05MN,"Sowieja",44.63441055,-93.07243612,1,0
05ND,"Klessig Strip",47.20776194,-97.47119945,1,0
05NE,"Mc Kay",41.72377619,-098.30861941,1,0
05OI,"Dorlon Airpark",41.28838527,-81.96263945,1,0
05OK,"Hawk Haven",35.85337972,-97.56754417,1,0
05OR,"Peacock Ranch",45.44153777,-117.35100973,1,0
05Q,"Camanche Skypark",38.26380527,-120.9232725,1,0
05S,"Vernonia Airfield",45.85150027,-123.24150528,1,0
05T,"Hilde-griff Field",30.72213333,-97.79140251,1,0
05TA,"Brandes Air Field",29.80913055,-96.26507778,1,0
05TS,"Dew Drop",33.12928749,-97.35863056,1,0
05TX,"Circle A Ranch",32.12916666,-97.40416667,1,0
05U,"Eureka",39.599722,-116.005,1,0
05UT,"Oljato",37.033333,-110.317357,1,0
05V,"Blanca",37.41111916,-105.55168001,1,0
05VA,"Providence",37.22416666,-78.41861112,1,0
05W,"Riverside Campground",35.58155444,-76.51548473,1,0
05WI,"Ames - Private",42.65112444,-88.74593862,1,0
05XS,"Johnson Memorial",33.07929055,-91.54317556,1,0
05Y,"Henning Municipal",46.30385,-95.4394825,1,0
06A,"Moton Fld Muni",32.4604695,-85.6800335,1,0
06C,"Schaumburg Rgnl",41.9891585,-88.1003565,1,0
06D,"Rolla Muni",48.886968,-99.6218575,2,0
06FA,"William P Gwinn",26.908153,-80.3284135,1,0
06II,"Bill Shank",40.02309194,-86.03748528,1,0
06IL,"Thudwhomp",41.40030722,-90.99070306,1,0
06IS,"Sinele Strip",40.54643166,-91.27431584,1,0
06K,"Phillips",40.07504305,-91.78988806,1,0
06M,"Eupora",33.5346165,-89.317021,1,0
06MO,"Noahs Ark",39.231528,-94.8043055,1,0
06N,"Randall",41.431869305,-74.39416222,2,0
06NC,"Tailwinds",34.8275,-78.93027778,1,0
06ND,"Fitterers Strip",46.74889194,-101.66931528,1,0
06OH,"Hal Joy Airfield",41.50977611,-80.59118584,1,0
06OI,"Green Acres",39.73477805,-84.38222223,1,0
06OR,"Hayden Mountain",45.465115,-123.07955,1,0
06Q,"Ranch Airstrip",38.33741388,-120.97327389,1,0
06R,"Grawunder Field",29.94189222,-96.24607445,1,0
06S,"Acme Field",48.7095575,-122.17765723,1,0
06TA,"Glaser Field",30.90852027,-97.11693639,1,0
06TE,"Ainsworth",30.3127085,-95.026875,1,0
06TS,"Roscoe Mc Connico",32.12070861,-96.17913973,1,0
06U,"Jackpot Hayden Fld",41.97676500,-114.65807300,1,0
06WI,"Young - Private",45.66273,-92.45019806,1,0
06X,"Parrish Brothers - Private",27.87530138,-80.51644195,1,0
06Y,"Herman Municipal",45.82996055,-96.16061445,1,0
07A,"Franklin Fld",32.1662025,-85.8097765,1,0
07B,"Blue Hill",44.44591,-68.56613417,1,0
07D,"Tackaberry",43.06336,-82.72492639,1,0
07E,"Navajo Nr 5",34.88669611,-109.42732667,1,0
07F,"Gladewater Muni",32.52867475,-94.97167475,2,0
07FA,"Ocean Reef Club",25.323710985,-80.2759437,2,0
07FD,"Flying G Ranch",30.41799194,-83.28375417,1,0
07H,"Schnelle",40.09865694,-91.39737251,1,0
07IL,"Haley Field",41.49308611,-88.20145084,1,0
07K,"Central City Municipal",41.11259368,-098.05020583,1,0
07KS,"Heape Field",37.73418388,-96.93670084,1,0
07KY,"Blue Lick",38.08062249,-85.6932925,1,0
07LL,"Dunlap",38.72504722,-87.74391667,1,0
07MI,"Scott Airstrip",43.86418916,-85.02391889,1,0
07MN,"Dairyview",44.05496472,-95.90946306,1,0
07MO,"Lake Sexton",38.65001472,-93.61687945,1,0
07MT,"Glasgow Industrial",48.421093,-106.5277165,1,0
07N,"Bermudian Valley Airpark",40.01676166,-77.00386667,1,0
07NC,"Timnath - Serah",34.83320416,-80.75117834,1,0
07ND,"Backfisch Strip",47.15611944,-102.06433667,1,0
07NY,"Hough-mcgee",40.87093166,-73.03705139,1,0
07OK,"Pleasant Valley",34.63340472,-99.03368862,1,0
07OR,"Bruces",45.42178638,-122.62037084,1,0
07PA,"Malickson",40.16065944,-75.49268584,1,0
07R,"Bishop Muni",27.61031,-97.7519415,1,0
07TA,"Salaika Aviation",29.24051833,-95.34465834,1,0
07TE,"Cuddihy Fld",27.721909625,-97.509618,4,0
07TS,"Cross-country Estates",30.625,-97.57277778,1,0
07V,"Cuchara Valley At La Veta",37.523825,-105.0092695,1,0
07VA,"Alpha Hotel",36.81958361,-78.78306223,1,0
07W,"Brickhouse Fld",34.41405638,-77.94971084,1,0
07WI,"Bartell Strip",42.96528888,-88.39148501,1,0
07Y,"Hill City-quadna Mountain",46.9555075,-93.59689639,1,0
08A,"Wetumpka Muni",32.52748125,-86.3310555,2,0
08AK,"Atmautluak",60.86682659,-162.27276148,1,0
08B,"Merrymeeting Field",44.00089502,-069.88987026,1,0
08C,"Riverview",42.936,-85.805196,1,0
08D,"Stanley Muni",48.3007985,-102.4063515,1,0
08F,"City Of Coalgate",34.53175888,-96.23305389,1,0
08FD,"Sunniland Ranch",27.36309833,-80.77283695,1,0
08FL,"J. H. Hendrie Farms",27.08449694,-81.32868334,1,0
08GA,"Sapelo Island",31.42578027,-81.28592889,1,0
08IL,"Harms Airstrip",41.57697722,-89.79399389,1,0
08K,"Harvard State",40.65103329,-098.08576713,2,0
08KS,"Alderson",39.03472194,-97.58003195,1,0
08M,"Carthage Leake Co",32.7601905,-89.530914,1,0
08MA,"Wormid",42.29398361,-71.49617445,1,0
08MS,"Williams Fld",34.6622225,-89.868333,1,0
08N,"Keller Brothers",40.29175888,-76.32884528,1,0
08NC,"Heathwood Farm",36.06763694,-80.46561195,1,0
08ND,"Brecht Strip",47.32639666,-102.09767306,1,0
08NE,"Laurel Municipal",42.43088250,-097.08454196,1,0
08NY,"Sharon",42.7784075,-74.57764001,1,0
08OH,"Kenley",41.29172222,-80.56368389,1,0
08OR,"Saxon Sycan",42.83931166,-121.1172175,1,0
08Q,"Kistler Ranch",37.85964916,-120.55436639,1,0
08R,"Richmond Airport",41.48949178,-71.62063694,1,0
08TE,"B J Mc Combs Sisterdale",29.9760475,-98.743639,1,0
08TS,"Puesta Del Sol",26.88782833,-98.50723862,1,0
08TX,"Cross Wind",32.85818111,-97.74752945,1,0
08U,"Stevens-crosby",41.51574138,-115.85980417,1,0
08VA,"Springwood Airstrip",37.55402194,-79.74976334,1,0
08WI,"Pierick",43.0436025,-90.35512389,1,0
08X,"Calusa Ranch",26.05453555,-81.06784778,1,0
09A,"Butler Choctaw Co",32.119315,-88.127464,1,0
09AK,"Larsen Bay",57.53510666,-153.97841695,1,0
09C,"Austin Lake",42.16254416,-85.54583278,1,0
09CL,"Alta Sierra",39.11375,-121.056529,1,0
09CO,"Cottonwood Field",38.05556333,-103.65328028,1,0
09F,"Running M Ranch",32.26680777,-97.86697612,1,0
09FA,"Placid Lakes",27.2455555,-81.413056,1,0
09FD,"Cheryl-lane Landings",28.67110361,-82.08730667,1,0
09FL,"R V Jordan",30.90212916,-87.174415,1,0
09GA,"Sunbelt Strip",31.11129833,-83.68405834,1,0
09I,"Delphos",40.82088305,-84.31245112,1,0
09II,"Gibbons Field",38.44727972,-86.44498473,1,0
09J,"Jekyll Island",31.07349900,-081.42621700,1,0
09K,"Sargent Muni",41.63896162,-099.34139215,1,0
09KS,"Coffman",38.70695333,-95.13830334,1,0
09LL,"Pine Hill",42.4680725,-88.74315862,1,0
09M,"Charleston Muni",33.99155,-90.075375,1,0
09MA,"Kallander Field",42.30426111,-71.50589695,2,0
09MN,"W Johnson Field",44.77995722,-95.66363389,1,0
09MO,"Hogue Farm",37.37837777,-93.36324806,1,0
09N,"Airhaven",41.83259305,-73.87596778,1,0
09NC,"William Irving Lewis",35.32932499,-79.030025,1,0
09NE,"Summer Hill Farm",41.33038051,-096.19198151,1,0
09OH,"Pine Acres",40.34978888,-80.90508973,1,0
09OK,"Ragtime Aerodrome",36.35453888,-95.86388334,1,0
09PA,"Eagle Field",40.82700388,-77.98806028,1,0
09R,"Tyler Co",30.7752,-94.4585345,1,0
09S,"Sullivan Lake State",48.84112424,-117.28395798,1,0
09TS,"Pitcock Rosillos Mountain Ranch",29.482419,-103.164892,1,0
09TX,"Smokey Mtn Ranch",30.73905166,-102.02374139,3,0
09VA,"Alum Ridge",36.97651777,-80.49394362,1,0
09WI,"Parkway Farm Strip",44.00357333,-91.30764417,1,0
0A2,"Hester Memorial",34.0904665,-82.5680585,1,0
0A3,"Smithville Muni",35.985325,-85.809322,1,0
0A4,"Johnson City Stolport",36.36361,-82.3088875,1,0
0A5,"Zack",34.60952833,-84.97772223,1,0
0A7,"Hendersonville",35.30404304,-082.43071215,2,0
0A8,"Bibb Co",32.9367915,-87.0888835,1,0
0A9,"Elizabethton Muni",36.3712115,-82.1734025,1,0
0AK,"Pilot Station",61.93432395,-162.88674888,1,0
0AK0,"Scotts",64.39252557,-146.86246494,1,0
0AK1,"Anderson Lake Strip",61.61696166,-149.31472501,1,0
0AK2,"Cape Simpson",71.05877888,-154.75061862,1,0
0AK3,"Parker Lake",62.03586638,-150.49391695,1,0
0AK6,"Victory",61.80337444,-147.94415334,1,0
0AL1,"Resort",30.44388888,-87.65694445,1,0
0AL5,"Flomaton",31.03222222,-87.25277778,1,0
0AL9,"Wilson Creek",34.85,-87.6325,1,0
0AR1,"Hooterville South",35.09467138,-93.20198334,1,0
0AR2,"Mission Field-marotti Memorial",35.26675444,-90.35009917,1,0
0AR3,"Taylors Air Strip",35.89896777,-93.26101139,1,0
0AR7,"Yancopin",33.95010416,-91.18122528,1,0
0AS0,"Sycamore Creek",33.66115472,-111.61680334,1,0
0AZ1,"Taylor Field",32.30090722,-111.32371723,3,0
0AZ2,"Western Sky",33.7780555,-113.6416665,2,0
0AZ4,"Flying Bucket Ranch",32.98227027,-112.28709278,1,0
0AZ5,"Castle Well",33.86586583,-112.60336834,1,0
0B1,"Bethel Rgnl",44.4251525,-70.8099135,1,0
0B2,"Brewer",44.76368277,-68.76781362,1,0
0B3,"Johnson Farm Lines",35.57119361,-93.5751875,1,0
0B4,"Hartington Muni",42.60113821,-097.25354878,2,0
0B5,"Turners Falls",42.591378,-72.5227625,1,0
0B7,"Warren-sugarbush",44.11738195,-72.82701994,1,0
0B8,"Elizabeth Fld",41.2522215,-72.031666,2,0
0C0,"Dacy",42.4027281666667,-88.632118,3,0
0C2,"Hinckley",41.77086277,-88.70341445,1,0
0C3,"Wilhelmi Field",41.48336416,-88.08339084,1,0
0C4,"Pender Muni",42.11675502,-096.72789164,1,0
0C5,"Canadian Lakes",43.57641694,-85.28059056,1,0
0C6,"St George",41.20697694,-87.78531862,1,0
0C7,"Grandpas Farm Mendota",41.52197694,-89.13258445,1,0
0C8,"Cushing Field Ltd",41.519475,-88.60562889,1,0
0CA1,"Northside Airpark",34.98831055,-120.45794195,1,0
0CA3,"Crawford",34.58748805,-120.01347584,1,0
0CA4,"Shepherd Ranch",34.62220888,-120.0654225,1,0
0CA5,"Hoffman - Private",33.1430975,-116.74529945,1,0
0CA8,"Ward Ranch",33.42780972,-116.84252334,3,0
0CA9,"Blech Ranch",35.594862,-120.33847,1,0
0CL1,"Krey Field",34.56943611,-117.55555556,2,0
0CL3,"John Nichols Field",32.63311194,-116.89307806,2,0
0CL6,"Bohunks Airpark",34.69470666,-118.28313195,1,0
0CL8,"Tera Skypark",35.59134583,-117.63367306,1,0
0CO1,"Daves",40.03331805,-105.12387306,1,0
0CO2,"Buckhorn Ranch",38.85159,-106.9320905,1,0
0CO3,"Greggs No 1",39.88942888,-104.54496139,1,0
0CO5,"Mack Mesa",39.26720166,-108.86371584,1,0
0CO6,"Flying M & M Ranch",38.21943361,-108.21313334,2,0
0CO8,"Cartwheel",40.2083175,-105.01303501,1,0
0CO9,"Van Treese",37.65833444,-106.03391334,1,0
0D0,"Fort Hill",42.90200805,-77.54777334,1,0
0D4,"Camp Vernon",42.35616861,-79.54893612,1,0
0D5,"Hill Top Airpark",43.16673222,-76.80801251,1,0
0D7,"Ada",40.79095901,-083.83072651,1,0
0D8,"Gettysburg Muni",44.98691675,-99.95322025,2,0
0D9,"Air Park North",44.95834138,-84.95837973,1,0
0E0,"Moriarty",34.985608,-106.009465,1,0
0E8,"Crownpoint",35.7176585,-108.201597,1,0
0F0,"Horne",35.51259611,-95.13912667,1,0
0F2,"Bowie Muni",33.601661,-97.7755665,1,0
0F3,"Spirit Lake Muni",43.387464,-95.1391625,1,0
0F4,"Loup City Muni",41.28605864,-098.98769825,2,0
0F6,"Gorman",32.20430416,-98.66561001,1,0
0F7,"Fountainhead Lodge Airpark",35.388678,-95.600032,1,0
0F8,"William R Pogue Muni",36.1752765,-96.1518415,1,0
0F9,"Tishomingo Airpark",34.1984975,-96.674486,1,0
0FD0,"Big G",29.26747944,-81.23006112,1,0
0FD3,"Kennedy",29.36136166,-82.14981639,1,0
0FD7,"Field Of Dreams",28.47027527,-82.24064223,1,0
0FD8,"Sandy Acres",28.97637388,-81.73729945,1,0
0FD9,"Joy Farms",30.65213555,-86.10938445,1,0
0G0,"North Buffalo Suburban",43.10318389,-78.70334583,1,0
0G2,"Jenkins",41.309775,-83.11602945,1,0
0G3,"Tecumseh Muni",40.40348548,-096.17368550,1,0
0G6,"Williams Co",41.4672945,-84.5067655,1,0
0G7,"Finger Lakes Rgnl",42.88368825,-76.78051475,2,0
0G8,"Alliance",40.90561388,-81.06509528,1,0
0GA0,"Halls Flying Ranch",33.35622611,-84.36714639,1,0
0GA1,"Mustang Field",34.47788055,-82.89708723,1,0
0GA2,"Airnautique Inc.",34.37788194,-82.94569889,1,0
0GA3,"Ayresouth",33.77010583,-85.06077917,1,0
0GA4,"Paradise Falls",33.8128975,-83.50571862,1,0
0GA6,"Sunset Strip",33.73344611,-83.81879084,1,0
0GA7,"Hickory Level Airfield",33.68344138,-84.99994334,1,0
0GA8,"Paso Fino Farm",30.88714111,-83.41599028,1,0
0GA9,"Roberta Industrial Park",32.71388888,-84.02750001,1,0
0H0,"Robinson Rla",39.65532944,-89.65204195,1,0
0H1,"Trego Wakeeney",39.0044525,-99.8928985,1,0
0H2,"Hammet",38.95282499,-90.16399778,1,0
0H4,"Glatthaar",39.52503472,-87.80586334,1,0
0I2,"Brazil Clay County",39.47674069,-87.09971152,1,0
0I8,"Cynthiana Harrison Co",38.3661625,-84.2833445,1,0
0IA3,"Hawkeye",42.43470972,-92.32796306,1,0
0IA5,"Moore - Private",40.872225,-93.26270945,1,0
0IA6,"Rinehart",41.65972472,-92.28990528,1,0
0IA8,"Hannen",42.22665833,-91.75128667,1,0
0ID2,"Flying Joseph Ranch Arpt",44.4428885,-113.7731395,1,0
0II0,"Chucks",40.26004249,-85.25330306,1,0
0II1,"Unsicker",40.42809333,-86.15332556,1,0
0II2,"Creighton",41.45726944,-86.12444612,1,0
0II3,"Miller Strip",40.62781777,-86.03776806,1,0
0II4,"Hook",41.39755027,-84.83607139,1,0
0II5,"Marshall Field",40.65948194,-86.85723445,1,0
0II6,"Kropf",41.643105,-85.82971639,1,0
0II7,"Frost Field",39.79559833,-85.78608945,1,0
0II8,"Suttons Field",41.32475722,-87.47586917,1,0
0II9,"Winters",39.53421361,-86.57722195,1,0
0IL2,"Wilken",40.84725611,-88.04782056,1,0
0IL3,"Flying B Ranch",40.15698055,-87.67446639,1,0
0IL7,"Diedrich",41.87308472,-88.83508806,1,0
0IL8,"Walter",41.87252916,-88.72369556,1,0
0IL9,"Jack W. Watson",41.85475138,-88.78730806,1,0
0IN1,"Snider Field",38.50004722,-87.59585723,1,0
0IN2,"The Lazy K",40.82782472,-85.08608028,2,0
0IN3,"Graves Landing Strip",41.11670722,-86.66667862,1,0
0IN4,"Air Park Field",41.12782666,-84.94718806,1,0
0IN5,"Byrne Field",38.32895416,-86.03358167,1,0
0IN9,"Parrish",37.99310055,-87.95141778,1,0
0IS4,"Dawson Farms",39.76253444,-88.67145528,1,0
0IS5,"Mueller",38.93449083,-89.62508862,1,0
0J0,"Abbeville Municipal",31.60016777,-85.23882223,1,0
0J4,"Florala Muni",31.042474,-86.3114985,1,0
0J6,"Headland Muni",31.36428,-85.3130495,2,0
0J8,"Flying Ten",29.61802222,-82.50872028,1,0
0J9,"Flying V",40.86867725,-097.35014544,1,0
0K0,"Griffin Field",37.3916825,-102.27962862,2,0
0K2,"Cooch Landing Area",39.84169916,-88.45839028,1,0
0K5,"Jerseyville Aviation Inc",39.09421361,-90.31344723,1,0
0K6,"Dobies",36.17898611,-95.58108889,1,0
0K7,"Humboldt Muni",42.734868,-94.2454625,1,0
0KS0,"J V Ranch",38.63334222,-95.92526695,1,0
0KS1,"Shomin",39.21666555,-95.33719445,1,0
0KS2,"Kellie Mann Airfield",38.5600125,-95.30914167,1,0
0KS3,"Camp Chippewa",38.56667861,-95.36692112,1,0
0KS4,"Snoopys",38.80833777,-95.59886973,1,0
0KS5,"Majeski",38.60279,-94.92496417,1,0
0KS6,"Kendrigan",37.45224166,-97.31782251,1,0
0KS7,"Mono Aircraft",37.69279111,-97.88644251,1,0
0KS9,"Lmn 120",37.51585305,-96.91975584,1,0
0KY1,"Arnemann Farms",36.7655555,-86.618333,1,0
0KY4,"Cambron Field",37.56444444,-87.08194445,1,0
0KY5,"Falin Landing Strip",36.8125,-86.375,1,0
0KY7,"Clinton-hickman County",36.63611111,-88.99861112,1,0
0KY8,"Sky",37.11722222,-83.73611112,1,0
0L4,"Lida Junction",37.48576555,-117.19090778,1,0
0L5,"Goldfield",37.71798833,-117.23841195,1,0
0L7,"Jean",35.76822225,-115.329611,2,0
0L9,"Echo Bay",36.3108335,-114.4636095,1,0
0LA1,"Double H Ranch",30.22936277,-90.97343334,1,0
0LA2,"Don Babin - Private",30.2779725,-90.96315584,1,0
0LL2,"Murks Strip",40.73892805,-90.38068306,1,0
0LL5,"Busboom Rla",40.11003333,-88.07837334,1,0
0LL6,"Gord",41.69836277,-88.60757723,1,0
0LL8,"Immke",40.83364499,-88.37755334,1,0
0M0,"Billy Free Muni",33.8847525,-91.534525,1,0
0M1,"Scott Fld",35.6377805,-88.127994,1,0
0M2,"Reelfoot Lake",36.4752765,-89.346111,1,0
0M3,"John A Baker Field",35.545972,-87.5973235,1,0
0M4,"Benton Co",36.0112305,-88.1232835,1,0
0M5,"Humphreys Co",36.1165985,-87.7381555,1,0
0M7,"Worth James Ranch",35.08342861,-94.11687417,2,0
0M8,"Byerley",32.825967,-91.187686,1,0
0M9,"Delhi Muni",32.4106945,-91.4987515,1,0
0MD1,"Taylor Field",39.18733333,-75.79271167,1,0
0MD2,"Squier Landing",38.28790611,-76.86746973,1,0
0MD4,"Pond View - Private",39.26677555,-76.18717417,1,0
0MD6,"Walters",39.38121444,-77.10581417,1,0
